age,salary,savings,risk_profile,goal,goal_amount,years_to_goal,selected_instrument,outcome
42,88031,488181,Medium,Emergency Fund,8552892,13,RD,Partial
44,51632,292552,Medium,Buy a House,4058626,23,Debt Mutual Fund,Partial
31,99550,449206,Low,Child Education,8122530,11,Balanced Mutual Fund,Success
28,146253,91262,Medium,Child Education,4727535,9,PPF,Failed
22,93731,113669,Medium,Retirement,4863042,25,PPF,Success
31,131535,48207,Low,Travel Abroad,7904195,7,Gold ETF,Partial
58,96145,24443,Low,Tax Saving,9861427,21,ELSS Mutual Fund,Success
40,96431,81390,Medium,Child Education,1513630,25,PPF,Success
49,42660,229700,Low,Emergency Fund,2587293,18,RD,Partial
40,62956,368133,Medium,Buy a House,8529406,2,PPF,Success
54,96844,486035,Medium,Retirement,5638077,24,PPF,Failed
52,117297,255770,High,Retirement,7993922,14,Equity Mutual Fund,Partial
44,136893,340038,High,Tax Saving,2646311,14,ELSS Mutual Fund,Success
32,27192,386300,High,Child Education,5618315,18,Balanced Mutual Fund,Success
60,51826,304895,Low,Retirement,4150706,18,NPS,Success
40,87949,114846,High,Buy a House,839270,19,PPF,Success
52,89278,183812,Medium,Travel Abroad,1329133,4,Savings Account,Partial
22,64042,282189,Medium,Tax Saving,8569069,20,PPF,Partial
43,89550,152828,High,Child Education,3564494,14,PPF,Partial
26,36724,60623,Medium,Buy a House,2801737,1,Debt Mutual Fund,Partial
43,39407,221879,High,Emergency Fund,1180447,9,Savings Account,Success
31,82411,432717,High,Car Purchase,1394537,1,FD,Success
38,126473,117985,Medium,Child Education,377827,10,Sukanya Samriddhi,Partial
41,105166,269591,High,Tax Saving,7000555,3,ULIP,Success
34,48419,311851,Low,Tax Saving,2434253,16,ULIP,Success
43,35786,100223,Medium,Buy a House,4646325,20,FD,Success
40,71652,292694,High,Retirement,1268745,14,Equity Mutual Fund,Success
55,113500,167148,High,Emergency Fund,1518940,1,RD,Success
41,128006,62928,High,Child Education,9215664,16,PPF,Success
44,133441,240598,High,Travel Abroad,5567887,5,Debt Mutual Fund,Success
44,131043,370678,Low,Retirement,2501501,8,Equity Mutual Fund,Success
43,54242,209657,Low,Travel Abroad,8582715,8,Gold ETF,Partial
52,96831,297734,High,Tax Saving,6264173,13,PPF,Success
32,51745,466283,Medium,Car Purchase,1793709,11,Debt Mutual Fund,Success
41,68097,205816,High,Buy a House,7150812,12,PPF,Partial
55,28004,306032,High,Retirement,7336732,3,Equity Mutual Fund,Partial
48,43437,221328,High,Buy a House,2968293,21,Debt Mutual Fund,Success
37,93778,414973,Low,Retirement,3571504,15,NPS,Success
57,61299,285506,Low,Child Education,1058412,17,PPF,Success
42,137313,411769,Low,Travel Abroad,9062213,9,Gold ETF,Failed
30,28491,82763,Medium,Retirement,7119179,20,PPF,Success
55,149601,174528,Medium,Tax Saving,1334201,22,ULIP,Success
58,126376,235646,Low,Child Education,7828101,23,Balanced Mutual Fund,Success
57,60706,299640,High,Travel Abroad,1375430,16,Savings Account,Partial
28,40395,234111,Medium,Tax Saving,2017690,21,PPF,Partial
45,33242,361664,Medium,Retirement,1462733,12,Equity Mutual Fund,Success
22,129509,11720,Low,Retirement,3883348,8,NPS,Partial
60,41556,11891,Medium,Tax Saving,2363850,6,PPF,Partial
38,122280,261965,Medium,Travel Abroad,1738543,10,Gold ETF,Success
36,103509,271495,Medium,Retirement,725135,17,PPF,Success
59,103348,483052,Low,Buy a House,5520958,9,Debt Mutual Fund,Success
40,79646,345692,Low,Travel Abroad,8756427,5,Gold ETF,Failed
41,92785,215023,Low,Car Purchase,3512218,14,FD,Failed
28,46425,213508,Medium,Tax Saving,1526472,25,ELSS Mutual Fund,Partial
49,75465,15952,High,Buy a House,2748094,11,FD,Partial
46,26072,351885,Medium,Car Purchase,7933133,7,Debt Mutual Fund,Success
34,83708,334565,Low,Child Education,861497,5,Balanced Mutual Fund,Success
25,60053,325893,High,Emergency Fund,2217465,3,RD,Partial
24,29963,291257,High,Travel Abroad,3204954,14,Gold ETF,Partial
34,71690,125867,Medium,Travel Abroad,8428619,5,Debt Mutual Fund,Partial
57,77507,469180,Medium,Child Education,686008,17,PPF,Success
33,116253,361130,Medium,Car Purchase,881318,14,FD,Success
33,147313,205076,Medium,Buy a House,8456581,24,PPF,Success
37,95443,478846,Medium,Buy a House,2586122,4,PPF,Success
33,118279,369904,Low,Buy a House,7955815,1,PPF,Partial
59,45630,487440,Low,Travel Abroad,1520907,5,Debt Mutual Fund,Success
27,78797,282536,High,Retirement,9078280,14,NPS,Partial
56,35403,352164,High,Car Purchase,9824229,1,RD,Success
29,116433,144129,Medium,Car Purchase,2574247,8,Debt Mutual Fund,Success
47,95688,18632,High,Retirement,3545703,17,NPS,Success
52,30896,363925,High,Travel Abroad,4151029,19,Savings Account,Success
39,132866,452759,Low,Emergency Fund,9295426,18,Liquid Mutual Fund,Success
40,30034,284549,Medium,Travel Abroad,1139261,6,Savings Account,Success
43,106246,355298,Low,Child Education,4541226,10,Sukanya Samriddhi,Partial
40,108694,409428,Medium,Buy a House,5410328,4,Debt Mutual Fund,Success
56,118817,343505,Low,Retirement,8282201,10,PPF,Success
52,33328,42058,Low,Emergency Fund,1381170,22,Liquid Mutual Fund,Success
56,102725,236820,High,Buy a House,4403559,24,PPF,Partial
48,68586,111321,Low,Tax Saving,9160427,12,ELSS Mutual Fund,Success
59,141226,474926,Medium,Buy a House,4732071,19,FD,Success
27,95207,126458,Medium,Buy a House,7594602,1,FD,Success
39,134130,474532,Medium,Travel Abroad,9239278,5,Debt Mutual Fund,Success
57,44189,109104,Medium,Emergency Fund,131726,6,Savings Account,Success
49,88217,403963,Low,Emergency Fund,418591,25,Liquid Mutual Fund,Failed
35,115015,448058,High,Emergency Fund,3852026,10,Liquid Mutual Fund,Failed
29,37376,296345,Medium,Car Purchase,4126988,2,FD,Success
59,94272,52621,Medium,Car Purchase,9578824,18,Debt Mutual Fund,Success
51,115986,320831,Medium,Child Education,7105628,10,Sukanya Samriddhi,Success
25,43867,490438,Medium,Retirement,5045838,1,NPS,Partial
25,112833,451238,High,Child Education,5821303,16,PPF,Partial
56,99785,341957,Low,Car Purchase,6932895,14,FD,Failed
50,109173,236922,Medium,Buy a House,2046756,23,Debt Mutual Fund,Partial
43,97302,94153,Medium,Emergency Fund,7706661,13,RD,Success
39,79170,182160,Medium,Tax Saving,2871969,17,PPF,Partial
51,38877,191515,Medium,Car Purchase,8341906,8,RD,Partial
28,85125,26063,High,Retirement,2260861,5,PPF,Failed
47,96861,377227,Medium,Travel Abroad,8981408,7,Savings Account,Success
31,102979,368637,High,Car Purchase,6874209,9,RD,Success
54,87570,74928,Medium,Tax Saving,101640,3,ELSS Mutual Fund,Partial
28,32485,162339,Low,Car Purchase,3140681,2,RD,Success
37,112966,389854,Low,Emergency Fund,3779444,21,Liquid Mutual Fund,Success
50,126401,82370,Low,Child Education,4042222,23,Balanced Mutual Fund,Partial
43,32165,380483,Medium,Travel Abroad,9129317,10,Gold ETF,Failed
38,36044,318697,Low,Emergency Fund,3480226,17,Savings Account,Success
37,45172,73428,High,Retirement,7749631,8,NPS,Success
22,137251,409782,High,Retirement,5362634,19,NPS,Success
26,53376,271378,Low,Car Purchase,1139002,6,RD,Success
34,55993,457500,Medium,Car Purchase,8705388,7,Debt Mutual Fund,Success
58,101879,59567,High,Tax Saving,6522388,17,PPF,Failed
36,118992,273769,Low,Retirement,2300898,23,NPS,Success
41,39875,100514,Medium,Car Purchase,8995636,6,RD,Success
60,68469,182989,Low,Child Education,1183462,18,Balanced Mutual Fund,Failed
23,85084,247248,Low,Retirement,6443827,9,Equity Mutual Fund,Partial
38,75290,236788,Medium,Tax Saving,9262210,22,PPF,Success
54,87385,326588,High,Buy a House,7387803,1,Debt Mutual Fund,Success
46,92484,26138,High,Buy a House,3099219,18,FD,Success
36,48604,72745,High,Retirement,1273281,23,Equity Mutual Fund,Failed
46,49801,418548,Medium,Tax Saving,4860778,16,ELSS Mutual Fund,Success
25,136467,365628,Low,Buy a House,7616045,16,FD,Success
41,32951,354951,Low,Retirement,1609645,22,PPF,Success
32,96233,249746,Medium,Tax Saving,9634634,18,PPF,Success
47,146084,13437,Medium,Buy a House,3579794,21,Debt Mutual Fund,Success
33,129643,386593,Medium,Buy a House,6970010,17,FD,Partial
49,35991,300472,Medium,Emergency Fund,8107912,5,Liquid Mutual Fund,Partial
35,123099,288250,Low,Child Education,4424156,14,Balanced Mutual Fund,Success
32,121360,102178,High,Car Purchase,4513638,23,FD,Success
27,125431,327725,Medium,Car Purchase,1994837,4,FD,Failed
57,83222,86000,Low,Travel Abroad,398902,3,Gold ETF,Success
57,67810,246752,Low,Child Education,8110751,22,PPF,Partial
39,33490,194721,Medium,Emergency Fund,6454311,14,RD,Success
37,123993,52089,Medium,Child Education,4594073,18,Balanced Mutual Fund,Success
56,120448,238402,Medium,Child Education,2461511,7,Balanced Mutual Fund,Partial
35,102991,83825,Low,Child Education,2212846,20,Sukanya Samriddhi,Failed
32,82375,474967,Medium,Retirement,3567998,19,Equity Mutual Fund,Success
23,107505,481576,Low,Emergency Fund,9541158,6,RD,Success
24,131578,324338,Medium,Child Education,7267263,13,Sukanya Samriddhi,Failed
25,95150,468112,Medium,Emergency Fund,2100340,3,RD,Success
27,56822,159804,High,Child Education,6067980,10,Sukanya Samriddhi,Success
51,36623,408255,Medium,Car Purchase,3018380,3,FD,Success
47,123690,409955,Low,Child Education,1794083,10,Balanced Mutual Fund,Success
37,29901,474606,Medium,Car Purchase,9448750,14,RD,Partial
36,116462,187237,Low,Travel Abroad,2096090,20,Gold ETF,Success
27,101279,55940,Medium,Emergency Fund,617259,21,Liquid Mutual Fund,Partial
55,121676,185847,Medium,Tax Saving,3233458,19,ELSS Mutual Fund,Partial
30,87480,98516,Medium,Child Education,3991485,23,Balanced Mutual Fund,Partial
31,139397,292866,Medium,Buy a House,2221063,15,FD,Success
54,84047,106482,Medium,Child Education,7864565,19,PPF,Success
23,114106,241251,Medium,Travel Abroad,1056970,25,Savings Account,Partial
35,39251,104024,Medium,Car Purchase,8616663,5,FD,Success
53,97522,298388,Low,Tax Saving,5795911,5,ELSS Mutual Fund,Partial
33,146983,315173,Low,Retirement,5355317,22,Equity Mutual Fund,Partial
48,134218,340037,High,Retirement,1639906,24,Equity Mutual Fund,Success
40,130755,264470,Medium,Retirement,2152445,21,NPS,Success
58,77915,190554,Medium,Emergency Fund,2973906,3,Liquid Mutual Fund,Partial
29,83712,445624,Medium,Tax Saving,6859541,9,PPF,Success
32,122075,454964,Medium,Travel Abroad,8282105,6,Savings Account,Success
44,26696,310830,Medium,Child Education,3166751,21,Balanced Mutual Fund,Partial
34,29845,255341,Low,Car Purchase,666452,10,Debt Mutual Fund,Success
42,85880,338956,Medium,Car Purchase,5448987,5,Debt Mutual Fund,Success
37,119067,25082,High,Tax Saving,9966978,18,ELSS Mutual Fund,Partial
55,31209,172274,High,Emergency Fund,6820161,16,Savings Account,Success
42,33891,187761,Medium,Retirement,6258378,1,PPF,Partial
25,73626,297672,High,Tax Saving,8129743,5,PPF,Success
52,98888,227311,Medium,Buy a House,6045008,2,Debt Mutual Fund,Failed
52,127249,240156,High,Retirement,2093184,9,NPS,Success
47,92226,464714,High,Car Purchase,2575919,25,FD,Partial
46,112764,39183,High,Retirement,8411171,12,NPS,Success
48,127765,270779,High,Buy a House,946325,12,Debt Mutual Fund,Failed
47,68573,172351,High,Emergency Fund,2634736,24,RD,Partial
47,44901,173622,Medium,Tax Saving,1851018,18,ULIP,Partial
51,79778,82755,Low,Emergency Fund,6181680,20,Liquid Mutual Fund,Partial
60,26368,159968,Medium,Travel Abroad,5300471,18,Gold ETF,Partial
32,122203,188403,High,Retirement,8335620,15,PPF,Failed
44,91257,147058,Medium,Retirement,456487,6,Equity Mutual Fund,Success
31,141906,430553,High,Buy a House,3083923,7,Debt Mutual Fund,Success
46,149932,209074,Low,Retirement,537850,2,PPF,Partial
38,72335,228975,Medium,Car Purchase,9052001,13,RD,Failed
37,98875,206035,Medium,Car Purchase,6148977,1,FD,Success
40,60813,478282,Low,Child Education,3776154,11,Sukanya Samriddhi,Partial
30,28841,186103,Low,Child Education,2173486,22,Sukanya Samriddhi,Success
48,72992,446850,Low,Tax Saving,3168005,23,ULIP,Partial
28,52618,271968,Low,Tax Saving,4258539,4,ELSS Mutual Fund,Partial
60,81763,157457,Low,Child Education,8886873,1,Balanced Mutual Fund,Success
48,39950,390686,Low,Child Education,2592829,20,PPF,Success
54,52388,123878,Medium,Retirement,9518597,25,NPS,Success
38,59084,267670,Low,Buy a House,3269498,14,Debt Mutual Fund,Failed
49,55764,433468,High,Tax Saving,8804888,16,PPF,Success
34,105093,478690,Low,Emergency Fund,9635921,20,Liquid Mutual Fund,Partial
47,102418,281597,Low,Car Purchase,8526432,12,RD,Success
56,79586,239184,High,Child Education,1221367,16,PPF,Partial
33,44399,437777,Low,Emergency Fund,3994475,13,RD,Failed
46,77318,258165,Medium,Travel Abroad,3338885,10,Debt Mutual Fund,Failed
34,124137,43548,Medium,Travel Abroad,3037873,10,Savings Account,Failed
56,32408,211664,Low,Emergency Fund,9258440,14,Liquid Mutual Fund,Success
51,83417,290631,High,Emergency Fund,6761879,15,Liquid Mutual Fund,Failed
53,105008,28624,Medium,Retirement,4227860,17,NPS,Success
47,25789,156467,Medium,Car Purchase,6290185,16,FD,Partial
23,130374,44604,Low,Buy a House,5350548,13,FD,Success
38,119460,184991,Low,Travel Abroad,3661162,6,Debt Mutual Fund,Success
26,106172,20818,Low,Car Purchase,1495798,4,Debt Mutual Fund,Success
45,118320,459718,Low,Child Education,120813,10,Balanced Mutual Fund,Partial
60,121625,237017,Medium,Emergency Fund,2163022,22,RD,Partial
35,55437,133960,Medium,Car Purchase,8820906,25,Debt Mutual Fund,Success
40,120814,306147,Medium,Car Purchase,7867602,10,FD,Failed
26,93607,46334,Medium,Retirement,7356491,11,Equity Mutual Fund,Partial
32,63067,133069,Medium,Travel Abroad,3505349,12,Gold ETF,Success
38,135429,63195,Medium,Buy a House,7135925,3,Debt Mutual Fund,Success
55,133493,213941,Medium,Buy a House,8860099,1,FD,Success
24,37828,448819,High,Car Purchase,5609468,13,RD,Partial
55,74514,358181,High,Retirement,3797042,20,NPS,Success
49,96342,296229,Low,Emergency Fund,7938295,14,Liquid Mutual Fund,Success
25,26621,278436,High,Buy a House,6810337,24,FD,Partial
28,78979,186783,Medium,Buy a House,7489694,15,PPF,Success
43,80068,140495,Medium,Retirement,923164,1,Equity Mutual Fund,Partial
22,94921,325865,Medium,Tax Saving,1643294,14,ULIP,Success
55,126882,431679,High,Retirement,8023606,9,NPS,Failed
48,121374,206637,Low,Car Purchase,8750818,19,FD,Success
35,143329,454137,Medium,Retirement,3566361,14,PPF,Success
47,64184,82091,High,Buy a House,8854139,24,FD,Success
25,52537,230289,Medium,Tax Saving,4415268,11,ULIP,Success
36,69143,496603,Low,Tax Saving,796980,25,ELSS Mutual Fund,Success
49,101728,414373,Medium,Emergency Fund,3807754,1,Savings Account,Success
23,31829,152233,Medium,Emergency Fund,3486404,2,RD,Success
29,32431,107797,Low,Car Purchase,9070314,3,Debt Mutual Fund,Success
47,121584,365448,Medium,Retirement,1030884,1,NPS,Partial
59,55167,406493,Medium,Child Education,1843676,15,Balanced Mutual Fund,Success
49,136898,290417,Medium,Tax Saving,5428230,21,ULIP,Success
24,72223,486173,Medium,Tax Saving,5990511,3,PPF,Success
39,84022,202418,Low,Emergency Fund,693453,6,Liquid Mutual Fund,Success
45,136293,437560,Medium,Buy a House,3937660,9,PPF,Partial
28,142858,497616,Medium,Car Purchase,772261,15,Debt Mutual Fund,Partial
40,116256,345408,Medium,Emergency Fund,8952102,4,Savings Account,Success
25,147662,29264,Low,Buy a House,4290413,4,Debt Mutual Fund,Partial
26,44908,437543,Medium,Emergency Fund,8878638,11,Liquid Mutual Fund,Success
26,51811,279419,High,Travel Abroad,4898848,2,Gold ETF,Success
33,87249,161724,Low,Tax Saving,4321729,23,PPF,Success
47,33217,319090,Medium,Tax Saving,3558439,9,ELSS Mutual Fund,Success
26,39842,140565,Low,Tax Saving,3777562,17,ELSS Mutual Fund,Partial
53,52856,308520,Medium,Buy a House,7765333,2,PPF,Success
39,52977,265215,Medium,Tax Saving,8547072,3,ELSS Mutual Fund,Success
48,29121,62434,High,Buy a House,7974770,23,PPF,Partial
44,108429,478144,Medium,Emergency Fund,8786800,24,RD,Success
34,103475,413391,Low,Buy a House,4444517,22,PPF,Partial
45,86994,24665,High,Travel Abroad,3542233,23,Debt Mutual Fund,Success
52,79781,149033,High,Car Purchase,5665434,14,FD,Success
23,40908,23744,Medium,Child Education,7689916,17,PPF,Partial
28,38056,61949,Medium,Child Education,9708152,5,Sukanya Samriddhi,Success
55,77139,77900,Medium,Travel Abroad,8992746,16,Debt Mutual Fund,Partial
54,68501,109101,Low,Travel Abroad,6203703,11,Savings Account,Partial
38,110666,445826,Medium,Travel Abroad,9672646,21,Debt Mutual Fund,Partial
27,144052,368598,Medium,Travel Abroad,6805455,18,Gold ETF,Success
55,92889,38319,Medium,Emergency Fund,2794635,4,Savings Account,Success
44,88079,397257,Low,Travel Abroad,2252058,11,Gold ETF,Failed
43,48066,194046,Medium,Buy a House,3764423,3,FD,Failed
34,142014,414518,Low,Emergency Fund,618956,9,Savings Account,Success
38,79463,304626,Medium,Buy a House,6957398,21,PPF,Partial
36,78962,138109,Low,Car Purchase,9924176,14,Debt Mutual Fund,Success
42,41669,95730,Low,Retirement,3657271,16,PPF,Success
27,122673,395524,High,Child Education,3242245,15,PPF,Success
35,45342,130425,Medium,Tax Saving,9364048,5,ULIP,Partial
44,77443,132183,High,Buy a House,4872937,10,PPF,Success
28,67340,276213,Low,Car Purchase,4452130,4,Debt Mutual Fund,Success
48,99222,323011,Low,Travel Abroad,9183463,1,Debt Mutual Fund,Partial
35,47823,352883,Low,Child Education,9840118,23,Balanced Mutual Fund,Success
58,111145,306976,Medium,Retirement,8996801,5,PPF,Success
46,32115,471815,Low,Tax Saving,8697181,25,PPF,Failed
29,112099,382582,Medium,Car Purchase,7083846,20,Debt Mutual Fund,Partial
59,35348,370692,Medium,Buy a House,5455133,7,PPF,Partial
30,146492,117750,Low,Travel Abroad,4338056,9,Debt Mutual Fund,Partial
29,108220,195907,Medium,Tax Saving,1273374,6,ELSS Mutual Fund,Success
23,85677,353396,Low,Emergency Fund,2436345,2,Savings Account,Partial
36,54304,61427,Medium,Emergency Fund,6696148,2,Liquid Mutual Fund,Success
50,140877,493007,Low,Car Purchase,8453021,20,Debt Mutual Fund,Partial
30,51753,452604,Medium,Child Education,7598648,3,PPF,Success
41,35543,170514,Low,Child Education,345828,18,Sukanya Samriddhi,Failed
43,146541,188111,Medium,Emergency Fund,7109663,4,RD,Partial
55,28575,380310,Medium,Child Education,678723,6,PPF,Partial
59,33691,221028,High,Tax Saving,3178311,18,ELSS Mutual Fund,Partial
53,114265,265461,Medium,Emergency Fund,6795072,10,Savings Account,Success
43,63670,59922,Medium,Tax Saving,4961050,13,PPF,Success
51,134536,394908,Low,Child Education,7105993,15,PPF,Success
42,147737,223249,Medium,Retirement,8960494,15,Equity Mutual Fund,Success
54,65936,216116,High,Emergency Fund,1526742,20,Liquid Mutual Fund,Success
40,105360,225300,High,Tax Saving,4443229,23,ELSS Mutual Fund,Partial
54,133171,190573,Low,Retirement,1396523,17,PPF,Success
35,138252,180420,Medium,Emergency Fund,788172,22,Savings Account,Success
38,131233,439307,High,Buy a House,9145896,5,PPF,Partial
25,70651,437192,High,Emergency Fund,2583039,1,Liquid Mutual Fund,Success
38,136589,74201,High,Buy a House,8063851,21,PPF,Failed
45,120449,400784,Low,Tax Saving,2830220,2,ULIP,Success
44,45082,15008,Low,Travel Abroad,4408856,1,Gold ETF,Partial
60,55130,410681,Low,Child Education,9617517,12,PPF,Success
54,56357,159338,Low,Retirement,2944513,16,PPF,Partial
49,38262,261003,Medium,Emergency Fund,882909,15,RD,Partial
53,118097,191233,Medium,Buy a House,2255767,14,PPF,Partial
57,95184,72393,Low,Travel Abroad,505512,15,Gold ETF,Success
35,25440,241305,Medium,Child Education,7562238,13,Balanced Mutual Fund,Success
41,93986,87581,Medium,Travel Abroad,6369761,24,Debt Mutual Fund,Failed
41,37924,62636,Low,Buy a House,4421026,9,Debt Mutual Fund,Partial
26,90976,338925,Low,Retirement,7868615,15,NPS,Partial
55,81154,475624,High,Emergency Fund,4919328,19,Liquid Mutual Fund,Success
46,68982,217893,Medium,Buy a House,3414297,15,FD,Failed
38,73473,278875,Medium,Retirement,4584650,13,PPF,Success
29,132751,108176,Low,Travel Abroad,1748295,13,Debt Mutual Fund,Success
60,65654,424255,Low,Tax Saving,1499369,10,ULIP,Partial
60,93443,262206,Medium,Travel Abroad,3311190,10,Savings Account,Success
48,58137,199252,Medium,Travel Abroad,6570873,10,Savings Account,Partial
22,96363,326899,Medium,Tax Saving,2543717,8,ULIP,Success
40,104283,368848,Low,Travel Abroad,5010300,13,Gold ETF,Success
52,92608,156973,Medium,Emergency Fund,8541475,19,RD,Success
35,91239,439529,High,Tax Saving,3151238,13,PPF,Success
57,62178,466169,Medium,Child Education,6741709,5,PPF,Success
29,108427,265159,Low,Tax Saving,9941870,16,ELSS Mutual Fund,Partial
51,47169,491565,Low,Tax Saving,5292221,24,ULIP,Success
38,123835,428033,Medium,Buy a House,6031964,3,Debt Mutual Fund,Success
38,144064,179448,Low,Car Purchase,7063573,13,Debt Mutual Fund,Success
28,130197,26890,Medium,Tax Saving,9040684,18,PPF,Success
28,53277,300527,Medium,Emergency Fund,2189979,11,Savings Account,Partial
25,75928,32962,High,Travel Abroad,5846826,21,Savings Account,Success
31,144644,395999,Medium,Child Education,2836389,15,PPF,Success
49,57723,214391,Low,Tax Saving,1384643,10,PPF,Failed
51,112903,175622,Medium,Tax Saving,6067000,1,ULIP,Success
31,52130,377816,Low,Car Purchase,9841895,5,Debt Mutual Fund,Success
57,98355,243743,Medium,Travel Abroad,493517,1,Debt Mutual Fund,Success
42,35011,336472,Low,Retirement,5249109,3,NPS,Partial
39,80072,442737,High,Emergency Fund,8327474,20,Liquid Mutual Fund,Success
54,109228,300902,Low,Car Purchase,8747551,2,Debt Mutual Fund,Success
23,58948,106336,Medium,Buy a House,5099780,5,FD,Partial
25,81146,18649,Medium,Travel Abroad,5197691,2,Savings Account,Success
53,37579,213454,Medium,Travel Abroad,6947288,5,Debt Mutual Fund,Success
25,125907,91949,Medium,Tax Saving,4416462,10,ELSS Mutual Fund,Partial
49,148086,348250,Medium,Retirement,9963928,23,NPS,Success
43,79038,347568,Low,Emergency Fund,5814734,18,RD,Success
